age,annual_income,employment_length_years,existing_debt,debt_to_income_ratio,num_credit_lines,num_late_payments_2yrs,credit_utilization,savings_balance,checking_balance,loan_amount,loan_term_months,credit_history_years,has_bankruptcy,home_ownership,purpose,creditworthy
23,50541.47,10.7,6701.41,0.133,1,3,0.009,2604.85,113.96,21433.83,36,3,0,rent,home_improvement,1
58,73610.79,0.0,32000.76,0.435,3,0,0.344,9086.34,0.0,9758.69,60,34,0,own,home_improvement,1
52,47887.68,2.4,22816.75,0.476,4,0,0.475,1809.03,2269.66,5603.66,12,34,0,rent,debt_consolidation,1
41,68439.11,9.7,33166.94,0.485,5,1,0.647,10574.3,9040.34,11566.32,36,17,0,rent,debt_consolidation,1
41,49956.03,3.9,13594.57,0.272,2,0,0.115,1725.76,0.0,8112.98,60,16,0,rent,medical,1
62,79067.81,2.4,19551.17,0.247,10,0,0.797,16698.47,10145.81,21729.43,24,42,0,own,car,1
23,30520.6,11.5,14097.75,0.462,7,1,0.306,3776.52,1751.34,9653.0,48,3,0,rent,business,1
54,37330.33,11.7,12211.84,0.327,8,3,0.135,3651.62,2934.14,14468.11,48,30,0,rent,business,1
29,54452.24,10.6,19018.9,0.349,8,2,0.357,4295.09,3829.0,11584.21,36,6,0,mortgage,car,0
23,45223.98,11.2,6562.7,0.145,7,1,0.456,3880.62,4766.13,4531.18,36,0,0,rent,home_improvement,0
45,49451.21,5.8,12682.42,0.256,7,2,0.25,2056.52,6010.8,21059.24,12,27,0,mortgage,education,1
68,71143.9,6.0,15353.42,0.216,7,1,0.175,6618.43,3979.7,3341.55,60,50,0,rent,home_improvement,1
56,49108.23,3.8,18298.73,0.373,8,2,0.21,3203.49,4525.76,7608.38,48,38,1,own,business,0
57,63865.7,7.8,7928.04,0.124,11,2,0.757,3882.07,8411.4,10015.8,48,33,0,own,medical,1
55,42152.5,4.4,9907.88,0.235,2,1,0.373,13041.38,4525.95,1843.02,12,37,0,mortgage,education,1
59,28606.43,4.8,13440.1,0.47,6,0,0.29,1895.46,1316.13,5485.48,60,41,0,own,home_improvement,1
45,73451.65,10.0,22741.82,0.31,2,0,0.56,5421.67,4180.31,9267.82,48,25,0,mortgage,business,1
25,101472.4,12.9,50219.03,0.495,2,0,0.36,17894.01,1759.62,9553.27,48,6,0,mortgage,debt_consolidation,1
61,61601.59,9.0,8823.78,0.143,11,0,0.455,2548.46,9705.57,23253.59,12,38,0,mortgage,car,1
41,55449.98,16.0,14037.1,0.253,5,0,0.443,11512.37,4546.37,15618.37,48,20,0,rent,education,1
44,59403.76,3.5,16943.18,0.285,8,1,0.344,4268.47,0.0,6166.55,24,24,0,mortgage,education,1
37,88957.94,0.0,20664.99,0.232,8,1,0.572,4186.87,2195.11,1835.99,36,12,0,own,car,1
28,61851.94,10.6,23675.78,0.383,0,0,0.385,1055.02,3648.54,2792.95,36,5,0,own,home_improvement,0
66,74700.16,3.1,7381.98,0.099,5,1,0.273,14242.69,9992.65,8012.7,12,43,0,mortgage,medical,1
58,73540.48,5.6,21715.19,0.295,2,0,0.372,4253.96,4200.39,12323.89,12,35,0,mortgage,medical,0
51,81437.24,0.0,7618.4,0.094,3,1,0.496,5730.19,7888.36,5176.36,36,26,0,rent,business,1
39,55047.91,2.5,19458.04,0.353,2,0,0.236,3923.06,1702.97,22793.87,48,15,0,rent,education,1
60,47676.47,0.0,21932.68,0.46,7,1,0.542,2751.01,4714.45,8292.76,36,39,1,mortgage,home_improvement,1
46,68702.8,4.8,2102.2,0.031,1,1,0.417,8450.87,9050.02,7113.08,36,25,0,rent,debt_consolidation,1
41,79383.05,5.0,20812.35,0.262,5,0,0.377,12835.77,8426.64,24561.36,24,18,0,rent,medical,0
41,84702.49,7.4,23812.66,0.281,3,0,0.406,27209.95,0.0,21892.93,60,19,1,rent,home_improvement,1
30,92925.75,13.2,37331.5,0.402,11,0,0.686,20366.16,5486.15,14808.07,24,7,0,rent,home_improvement,0
23,76850.58,10.4,4580.41,0.06,9,0,0.473,7396.13,1059.08,6616.01,24,0,0,rent,education,1
47,46816.83,0.0,11010.9,0.235,4,2,0.541,7280.42,4692.41,23193.79,24,29,0,mortgage,business,1
64,61576.6,10.0,26866.18,0.436,3,2,0.274,16018.6,4321.38,15980.09,24,43,1,mortgage,home_improvement,1
22,59730.88,7.6,18040.91,0.302,8,0,0.3,10259.01,9094.03,8077.74,36,4,0,mortgage,business,0
62,57542.81,6.5,24019.43,0.417,7,0,0.341,5762.31,2879.94,19657.07,24,39,0,rent,medical,1
61,68750.64,6.9,14638.74,0.213,6,0,0.611,8559.15,4833.73,6320.66,48,43,0,mortgage,debt_consolidation,1
33,53356.56,8.0,27086.27,0.508,0,0,0.588,11169.71,3228.46,3370.86,36,8,0,mortgage,education,1
51,53382.5,3.5,3255.96,0.061,0,0,0.358,668.65,5477.17,6818.61,24,30,0,own,medical,1
27,103784.95,6.1,7090.29,0.068,7,1,0.142,8137.7,1877.14,3124.92,60,6,0,rent,business,0
57,56013.05,12.9,16809.38,0.3,5,0,0.495,503.42,933.23,8414.92,12,35,0,rent,business,1
54,81227.22,3.5,21893.71,0.27,9,1,0.562,2656.24,3127.4,8088.76,24,33,0,mortgage,debt_consolidation,0
37,82904.93,1.9,29712.12,0.358,0,0,0.818,432.69,7950.98,5595.3,24,19,0,mortgage,medical,1
22,62154.48,6.7,8788.63,0.141,2,0,0.416,4565.51,7372.9,15859.28,24,0,0,mortgage,home_improvement,1
68,54082.25,1.3,7560.43,0.14,9,1,0.418,13265.13,3353.93,9835.99,24,49,1,own,medical,1
41,42702.28,0.0,17808.05,0.417,11,2,0.312,8235.7,4109.84,6112.27,60,19,0,own,education,1
64,32929.67,5.3,5750.69,0.175,8,3,0.351,1549.89,3031.66,7165.77,48,40,0,mortgage,car,1
53,70448.39,14.2,28564.33,0.405,0,0,0.206,8720.36,4493.95,12944.62,48,35,0,own,debt_consolidation,1
58,65549.78,6.8,23570.04,0.36,0,0,0.27,2577.45,4103.55,15438.39,24,40,0,own,home_improvement,1
57,74044.46,7.9,4750.94,0.064,10,0,0.168,7152.32,7759.36,9323.77,36,39,0,own,business,1
28,48675.19,0.0,19319.12,0.397,5,0,0.242,10970.09,7907.17,4871.0,36,5,0,rent,education,1
37,107728.87,9.2,52371.65,0.486,5,0,0.088,3112.07,12503.83,7491.88,48,12,0,own,education,1
42,67532.84,7.5,30580.39,0.453,11,0,0.423,7488.83,8563.84,12094.33,24,21,0,rent,debt_consolidation,1
44,55303.24,3.7,1365.81,0.025,2,1,0.629,8400.67,9325.34,17577.8,36,20,0,mortgage,education,0
21,28091.14,7.9,8597.25,0.306,3,1,0.587,1559.5,892.25,6670.49,36,3,0,own,debt_consolidation,0
46,50474.27,7.9,25442.5,0.504,8,1,0.397,5560.39,5135.21,4440.13,12,26,0,mortgage,medical,1
26,75275.23,1.7,25392.19,0.337,10,0,0.251,3434.19,10499.42,13490.63,12,3,0,rent,home_improvement,1
56,92044.07,8.7,16003.96,0.174,4,1,0.432,9247.19,10458.65,17141.5,60,31,0,own,home_improvement,0
53,58216.12,13.0,7166.91,0.123,1,2,0.27,5848.94,2137.31,8938.56,36,29,0,own,car,1
66,97512.8,5.9,37349.57,0.383,0,2,0.596,2413.98,2615.91,5276.32,36,48,0,own,home_improvement,1
56,41662.96,2.7,17863.6,0.429,0,2,0.724,848.44,6179.42,6764.98,12,34,0,rent,home_improvement,0
37,66229.09,6.1,33357.6,0.504,4,0,0.101,1125.68,5791.82,9230.61,60,14,0,own,car,1
68,66872.08,11.3,33438.03,0.5,6,0,0.077,8659.66,5479.85,5900.07,48,46,0,rent,debt_consolidation,1
39,70644.82,0.9,14116.14,0.2,5,1,0.35,8097.4,4778.51,3765.02,24,19,0,mortgage,debt_consolidation,1
35,60906.71,9.9,20711.62,0.34,2,1,0.669,5675.16,8659.14,5842.94,60,17,0,mortgage,car,1
65,64988.74,3.6,4796.5,0.074,8,0,0.542,4884.51,7497.93,6733.8,48,42,0,own,medical,1
37,41344.92,8.2,2896.84,0.07,10,0,0.522,6632.1,2371.73,6684.36,36,12,0,mortgage,debt_consolidation,1
22,88811.85,4.2,5140.28,0.058,2,0,0.432,6066.38,9968.04,1590.9,12,4,0,rent,car,1
42,78379.34,4.2,40082.13,0.511,8,0,0.235,3864.72,5923.64,35372.4,12,17,0,rent,car,1
59,64117.39,14.6,6462.34,0.101,6,0,0.551,2045.12,7069.5,5978.0,24,35,0,mortgage,education,1
28,79028.55,0.0,21782.87,0.276,8,0,0.408,7016.14,10627.52,4198.96,24,3,0,own,medical,1
42,89840.04,9.4,22417.64,0.25,0,0,0.071,9335.89,11543.12,7168.3,48,22,0,rent,medical,1
25,70289.4,15.7,13504.61,0.192,8,0,0.42,5994.91,0.0,16302.04,12,2,0,mortgage,debt_consolidation,1
54,112120.61,10.4,34196.48,0.305,8,0,0.075,16406.36,10354.31,15868.44,24,35,0,mortgage,debt_consolidation,1
43,72312.28,0.3,1553.21,0.021,8,0,0.41,5072.29,10165.04,14311.65,12,21,0,rent,medical,1
35,43401.55,0.6,9612.54,0.221,10,3,0.188,16178.64,1333.55,20258.74,36,17,0,mortgage,car,0
30,63019.26,3.2,17270.58,0.274,8,0,0.516,5615.56,10469.33,4866.09,48,6,0,rent,education,1
47,80120.44,7.8,35713.79,0.446,11,0,0.715,4842.3,7827.88,3849.87,60,26,0,mortgage,business,1
53,89871.59,8.1,35185.68,0.392,8,0,0.275,5847.95,10298.43,12093.75,48,28,0,mortgage,debt_consolidation,1
66,61344.54,0.6,28854.86,0.47,5,0,0.296,7135.28,7026.74,6491.05,12,42,0,mortgage,car,1
41,42299.65,2.6,9282.15,0.219,10,0,0.51,13458.83,0.0,13960.52,48,16,0,mortgage,debt_consolidation,1
27,53693.27,2.9,5083.68,0.095,8,1,0.422,2678.53,6251.91,15447.39,12,4,0,mortgage,home_improvement,0
61,36418.24,6.1,8469.42,0.233,6,1,0.459,4987.8,3325.91,10003.55,12,43,0,rent,car,1
51,74899.06,16.9,39728.08,0.53,6,1,0.762,8306.14,3315.65,7833.4,24,26,0,mortgage,business,1
54,50266.59,2.3,6715.3,0.134,4,0,0.431,11554.32,7431.52,18701.73,12,30,0,own,medical,0
23,45593.39,2.1,5134.74,0.113,7,1,0.102,2173.51,0.0,9511.98,60,3,0,rent,education,0
34,77459.79,1.3,40317.72,0.52,5,0,0.486,9650.38,2791.64,6091.53,24,14,0,rent,medical,1
58,96787.81,10.2,50664.47,0.523,1,0,0.198,16950.93,13486.2,7975.72,24,34,0,mortgage,car,0
61,45529.3,6.8,4511.75,0.099,5,0,0.125,6163.44,5332.3,9008.75,36,37,0,own,medical,1
41,61480.76,2.5,26302.08,0.428,11,0,0.344,9981.86,2446.03,2154.67,12,22,1,own,business,0
60,54442.72,5.2,13488.92,0.248,3,2,0.735,3688.21,1691.04,21287.1,24,42,0,rent,home_improvement,0
61,91380.41,3.0,25666.41,0.281,8,0,0.438,9689.88,5352.4,5263.98,48,38,0,rent,car,1
38,56530.02,8.5,16071.75,0.284,4,1,0.208,11317.89,4875.87,2800.79,60,16,0,rent,business,1
64,41025.95,20.4,21876.55,0.533,3,1,0.229,864.99,2030.38,9369.94,60,42,0,rent,car,0
33,57434.78,9.8,6769.86,0.118,4,1,0.197,3953.32,3869.02,10268.98,12,8,0,mortgage,education,1
31,84434.07,6.5,36283.33,0.43,11,0,0.315,3777.39,6442.4,5427.6,36,8,0,rent,car,1
53,53379.7,3.7,1228.12,0.023,1,2,0.153,2294.24,2965.54,6702.74,36,31,0,rent,education,1
51,47077.36,0.3,16626.0,0.353,8,2,0.498,5322.44,2367.12,9365.08,60,33,1,rent,car,1
26,55679.78,10.7,20374.31,0.366,9,0,0.617,6212.14,790.23,9131.46,60,8,0,rent,medical,1
61,41443.91,10.4,17384.24,0.419,2,0,0.099,2951.68,2971.83,13700.63,24,36,0,own,car,1
29,54419.24,4.7,27795.18,0.511,9,1,0.466,5484.5,3848.24,9458.06,60,4,0,rent,car,0
60,48238.4,13.1,20237.58,0.42,7,0,0.274,4095.22,1262.99,2529.86,24,36,0,mortgage,business,1
19,119870.38,7.1,48911.47,0.408,4,0,0.222,2107.25,10444.52,7805.24,24,0,1,own,car,0
59,29945.46,10.9,4626.79,0.155,2,0,0.38,940.94,3949.55,11659.24,36,35,0,rent,home_improvement,1
59,43340.36,8.5,23672.72,0.546,11,1,0.389,5949.89,3302.14,5809.71,48,34,0,mortgage,debt_consolidation,0
